feature,gain
EXT_SOURCE_MEAN,230195.29828020334
ORGANIZATION_TYPE,73519.13625769615
CREDIT_TERM,39292.246835303304
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MAX,26356.33280553818
EXT_SOURCE_MIN,20148.26916296482
GOODS_CREDIT_RATIO,17033.19029507637
EXT_SOURCE_3,16566.747263741494
EXT_SOURCE_1,15479.482064652442
OCCUPATION_TYPE,13895.383765125274
EXT_SOURCE_MEAN_x_AGE,13086.87279062271
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MEAN,11648.97805032623
AMT_ANNUITY,11543.637989974022
CREDIT_GOODS_DIFF,11377.448043298722
EXT_SOURCE_MAX,11267.82344610095
EMPLOYED_AGE_RATIO,10434.010050106048
EXT_SOURCE_STD,9732.419990265369
OWN_CAR_AGE,9546.02923885584
AMT_GOODS_PRICE,9397.275020599365
BUREAU_DAYS_CREDIT_ENDDATE_MAX,9323.795300149917
DAYS_BIRTH,8755.52920564413
EXT_SOURCE_2,8671.509099292754
ANNUITY_INCOME_RATIO,8414.771736764907
DAYS_LAST_PHONE_CHANGE,8040.282127937675
DAYS_ID_PUBLISH,7936.772354269027
DAYS_EMPLOYED,7621.546474123001
NAME_EDUCATION_TYPE,7603.012562799454
BUREAU_DAYS_CREDIT_MAX,7577.103859591484
AGE_YEARS,7258.19954071045
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,7194.990652561188
BUREAU_TOTAL_DEBT_CREDIT_RATIO,6702.446567201614
BUREAU_DAYS_CREDIT_VAR,6575.317590093613
ID_PUBLISH_AGE_RATIO,6561.920067548752
BUREAU_AMT_CREDIT_SUM_MEAN,6540.019258308411
CREDIT_INCOME_RATIO,6392.186870718002
BUREAU_AMT_CREDIT_SUM_SUM,6361.449411725998
BUREAU_AMT_CREDIT_SUM_MAX,6328.912501016259
DAYS_REGISTRATION,6301.956666350365
BUREAU_CREDITS_PER_YEAR,6186.35301873684
REGION_POPULATION_RELATIVE,6174.41761238575
CODE_GENDER,6117.402592039109
EMPLOYED_YEARS,5753.039867210388
REGISTRATION_AGE_RATIO,5648.940590006858
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,5517.654481887817
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,5445.370892524719
AMT_CREDIT,5405.076319360733
BUREAU_DAYS_CREDIT_MEAN,5375.6698837324975
BUREAU_DAYS_CREDIT_ENDDATE_MIN,4901.515083909035
INCOME_PER_PERSON,4806.194381141662
BUREAU_DAYS_CREDIT_UPDATE_MEAN,4656.4779448986055
BUREAU_DAYS_CREDIT_MIN,4062.6182482242584
AMT_INCOME_TOTAL,3791.7976570606234
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,3763.7845140755176
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,3622.359798312187
TOTALAREA_MODE,3431.370490026474
BUREAU_CREDIT_TYPE_MICROLOAN_FRAC,3352.8024908065795
BUREAU_CREDIT_ACTIVE_ACTIVE_COUNT,3244.5991142749785
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,3190.3983595371246
BUREAU_BB_DPD_RATIO_MEAN,3007.218138694763
REGION_RATING_CLIENT_W_CITY,2980.979812002182
FLAG_DOCUMENT_3,2955.6301704883576
BUREAU_BB_MONTHS_COUNT_MEAN,2927.821628284454
NAME_FAMILY_STATUS,2804.2500779151915
HOUR_APPR_PROCESS_START,2792.1510118961332
DEF_30_CNT_SOCIAL_CIRCLE,2774.6065080165863
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,2734.817923736572
BUREAU_CREDIT_TYPE_CONSUMER_CREDIT_FRAC,2675.9409534454344
AMT_REQ_CREDIT_BUREAU_YEAR,2667.468525505066
DOCUMENT_COUNT,2585.8025663375856
BUREAU_BB_MONTHS_COUNT_MAX,2577.824841117859
BUREAU_AMT_ANNUITY_MAX,2250.067247748375
BUREAU_CREDIT_TYPE_CREDIT_CARD_FRAC,2234.6478960990908
BUREAU_AMT_ANNUITY_MEAN,2231.3941674232483
BUREAU_BB_MONTHS_COUNT_SUM,2226.864721918106
LIVINGAREA_MODE,2172.40304851532
FLAG_WORK_PHONE,2153.161101484299
WEEKDAY_APPR_PROCESS_START,2135.255663919449
LANDAREA_MODE,2082.6818675518034
LANDAREA_AVG,2038.3193979263306
APARTMENTS_MODE,1991.2408348560334
BASEMENTAREA_MODE,1929.2142305016519
BUREAU_CREDIT_TYPE_MORTGAGE_FRAC,1908.8065050125122
LIVINGAREA_AVG,1897.6681129932404
BUREAU_CREDIT_ACTIVE_CLOSED_FRAC,1884.72723031044
YEARS_BEGINEXPLUATATION_MODE,1847.6019306480885
YEARS_BEGINEXPLUATATION_AVG,1813.865827357769
APARTMENTS_AVG,1769.9915800094604
DEF_60_CNT_SOCIAL_CIRCLE,1725.2041249275208
COMMONAREA_MODE,1701.2276194095612
BUREAU_CREDIT_ACTIVE_CLOSED_COUNT,1699.1194377422332
NONLIVINGAREA_MODE,1690.895165348053
BUREAU_CREDIT_ACTIVE_ACTIVE_FRAC,1671.686217212677
MISSING_COUNT,1641.277267742157
BASEMENTAREA_AVG,1615.2057863235473
AMT_REQ_CREDIT_BUREAU_QRT,1587.760104084015
NONLIVINGAREA_AVG,1561.7246453285218
BUREAU_BB_DPD_MONTHS_MEAN,1550.722199344635
BUREAU_BB_DPD_RATIO_MAX,1540.4624683856964
LIVINGAPARTMENTS_MODE,1525.9304608345033
OBS_30_CNT_SOCIAL_CIRCLE,1523.1198335647582
BUREAU_AMT_ANNUITY_SUM,1501.0844356536866
YEARS_BEGINEXPLUATATION_MEDI,1493.8611525535584
LIVINGAREA_MEDI,1485.7670868396758
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,1467.5608130455016
BUREAU_CREDIT_TYPE_CREDIT_CARD_COUNT,1459.8963501930236
COMMONAREA_AVG,1443.7097759723663
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,1413.3673468112945
LIVINGAPARTMENTS_AVG,1388.4262031674384
APARTMENTS_MEDI,1346.3168736457824
OBS_60_CNT_SOCIAL_CIRCLE,1287.6257853507996
YEARS_BUILD_AVG,1281.9688594818115
BUREAU_CREDIT_COUNT,1257.8204428195954
BASEMENTAREA_MEDI,1230.4299458503724
ENTRANCES_AVG,1229.1105337142944
LANDAREA_MEDI,1194.8594652175902
BUREAU_CREDIT_TYPE_CONSUMER_CREDIT_COUNT,1186.5981670856477
COMMONAREA_MEDI,1112.6447916030884
REG_CITY_NOT_LIVE_CITY,1091.1316429615022
BUREAU_BB_DPD_RATIO_SUM,1081.8716558933259
NAME_CONTRACT_TYPE,1044.432780265808
YEARS_BUILD_MODE,1040.0660034179687
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,994.5039242744446
NONLIVINGAREA_MEDI,992.2697439193726
FLOORSMAX_AVG,943.154093670845
BUREAU_CREDIT_ACTIVE_SOLD_FRAC,940.1205901145935
BUREAU_CREDIT_TYPE_MICROLOAN_COUNT,927.2672122955322
FLOORSMIN_AVG,863.9537121772767
WALLSMATERIAL_MODE,857.4773946762085
BUREAU_CREDIT_TYPE_CAR_LOAN_FRAC,852.8670706391334
NAME_INCOME_TYPE,844.8798770904541
LIVINGAPARTMENTS_MEDI,836.4929310798645
ENTRANCES_MODE,814.3843695640564
CNT_FAM_MEMBERS,685.7754520893097
BUREAU_BB_DPD_MONTHS_MAX,671.8812631130219
NAME_HOUSING_TYPE,664.1423654079438
NONLIVINGAPARTMENTS_AVG,643.8395398139953
YEARS_BUILD_MEDI,557.5579756736755
CONTACT_COUNT,554.9227772712708
EXT_SOURCE_NA_COUNT,547.0756463050842
ENTRANCES_MEDI,523.4299923419952
ELEVATORS_AVG,503.1417197227478
FLOORSMIN_MODE,496.3089361190796
AMT_REQ_CREDIT_BUREAU_MON,469.99029340744016
BUREAU_BB_DPD_MONTHS_SUM,465.6640070915222
NONLIVINGAPARTMENTS_MODE,445.3982934951782
NAME_TYPE_SUITE,444.3500959396362
FLOORSMAX_MODE,408.56964526176455
REGION_RATING_CLIENT,406.40317754745485
NONLIVINGAPARTMENTS_MEDI,397.60480136871337
CNT_CHILDREN,395.19349374771116
FLAG_OWN_REALTY,351.8168665409088
BUREAU_CREDIT_DAY_OVERDUE_MEAN,338.47643623352053
CHILDREN_RATIO,319.8438687324524
FLAG_OWN_CAR,315.75098485946654
FLOORSMAX_MEDI,295.2188684463501
ELEVATORS_MODE,286.68144191503524
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,280.8876233100891
FLOORSMIN_MEDI,264.66205501556396
FLAG_PHONE,264.1846964836121
BUREAU_CREDIT_DAY_OVERDUE_MAX,249.42523334026336
LIVE_CITY_NOT_WORK_CITY,240.88744068145752
BUREAU_CNT_CREDIT_PROLONG_MAX,227.69693183898926
BUREAU_CREDIT_TYPE_MORTGAGE_COUNT,198.67904634475707
REG_CITY_NOT_WORK_CITY,195.25395164489746
FONDKAPREMONT_MODE,187.16866178512572
AMT_REQ_CREDIT_BUREAU_WEEK,181.24666748046874
ELEVATORS_MEDI,181.1798274040222
BUREAU_CREDIT_TYPE_CAR_LOAN_COUNT,173.47579822540283
BUREAU_CREDIT_TYPE_ANOTHER_TYPE_OF_LOAN_FRAC,167.92029395103455
AMT_REQ_CREDIT_BUREAU_DAY,161.66335225105286
FLAG_DOCUMENT_8,142.51301584243774
HOUSETYPE_MODE,135.37518482208253
REG_REGION_NOT_WORK_REGION,129.92581572532654
FLAG_EMAIL,98.816565990448
